code,Definition,id,Country,Regional_indicator,Ladder_score7,country,latitude,longitude,name
736,Sudan,736,LKA,2020,2.17,LKA,,,Sudan
740,No Data,740,No Data,No Data,0,No Data,,,No Data
748,Swaziland,748,SDN,2020,4.29,SDN,,,Swaziland
752,Sweden,752,SWZ,2020,2.92,SWZ,,,Sweden
756,Switzerland,756,SWE,2020,1.84,SWE,,,Switzerland
760,No Data,760,No Data,No Data,0,No Data,,,No Data
762,Tajikistan,762,TWN,2020,1.19,TWN,,,Tajikistan
764,Thailand,764,TZA,2020,4.77,TZA,,,Thailand
768,Togo,768,THA,2020,1.5,THA,,,Togo
772,WSM,772,No Data,No Data,0,No Data,,,WSM
776,TKL,776,No Data,No Data,0,No Data,,,TKL
780,Trinidad and Tobago,780,TGO,2020,4.2,TGO,,,Trinidad and Tobago
784,United Arab Emirates,784,UKR,2020,1.43,UKR,,,United Arab Emirates
788,Tunisia,788,TTO,2020,1.7,TTO,,,Tunisia
792,Turkey,792,TUN,2020,2.15,TUN,,,Turkey
795,Turkmenistan,795,TUR,2020,2.04,TUR,,,Turkmenistan
798,TON,798,No Data,No Data,0,No Data,,,TON
800,Uganda,800,TKM,2020,2.7,TKM,,,Uganda
804,Ukraine,804,UGA,2020,4.7,UGA,,,Ukraine
807,Macedonia,807,LUX,2020,1.42,LUX,,,Macedonia
818,Egypt,818,ECU,2020,2.38,ECU,,,Egypt
826,United Kingdom,826,ARE,2020,1.37,ARE,,,United Kingdom
831,Guinea,831,GTM,2020,2.78,GTM,,,Guinea
834,Tanzania,834,TJK,2020,3.52,TJK,,,Tanzania
840,United States,840,GBR,2020,1.74,GBR,,,United States
854,Burkina Faso,854,BGR,2020,1.59,BGR,,,Burkina Faso
858,Uruguay,858,USA,2020,1.77,USA,,,Uruguay
860,Uzbekistan,860,URY,2020,1.95,URY,,,Uzbekistan
862,Venezuela,862,UZB,2020,2.38,UZB,,,Venezuela
876,TUV,876,No Data,No Data,0,No Data,,,TUV
882,No Data,882,No Data,No Data,0,No Data,,,No Data
887,Yemen,887,VNM,2020,2.05,VNM,,,Yemen
894,Zambia,894,YEM,2020,3.61,YEM,,,Zambia
926,Kosovo,926,KEN,2020,3.37,KEN,,,Kosovo
954,WLF,954,No Data,No Data,0,No Data,,,WLF
